"Filename",4_Blank.mzXML,48_MB_CNeg2.mzXML,107_GC_C.mzXML,104_GC_2.mzXML,43_GC_C.mzXML,39_GC_Pos.mzXML,27_MB_CNeg0.mzXML,19_MB_CNeg2.mzXML,33_MB_CNeg0.mzXML,37_GC_Neg.mzXML,18_MB_CNeg0.mzXML,38_GC_0.mzXML,13_GC_2.mzXML,16_GC_C.mzXML,12_GC_Pos.mzXML,10_GC_Neg.mzXML,25_MB_CPos2.mzXML,51_MB_CNeg2.mzXML,66_GC_Pos.mzXML,65_GC_0.mzXML,101_GC_Neg.mzXML,40_GC_2.mzXML,11_GC_0.mzXML,64_GC_Neg.mzXML,102_GC_0.mzXML,70_GC_C.mzXML,67_GC_2.mzXML,100_MB_CPos2.mzXML,74_MB_CPos0.mzXML,49_MB_CPos0.mzXML,60_MB_CPos2.mzXML,92_MB_CPos0.mzXML,103_GC_Pos.mzXML
run_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/281.0054mz/3.019min,,174.0,,158.0,156.0,249.0,,170.0,,,302.0,329.0,,294.0,,,,194.0,241.0,334.0,312.0,,,,161.0,178.0,183.0,145.0,449.0,180.0,142.0,186.0,
5/294.9620mz/3.018min,,,39.0,63.0,,,,47.0,,257.0,,68.0,,,241.0,102.0,,,71.0,63.0,52.0,54.0,,241.0,42.0,,52.0,,214.0,,44.0,62.0,60.0
7/354.9695mz/3.020min,89.0,,39.0,87.0,47.0,121.0,,81.0,,297.0,,153.0,,,148.0,204.0,130.0,,90.0,130.0,68.0,,,305.0,58.0,58.0,54.0,50.0,212.0,42.0,70.0,127.0,
9/92.0012mz/3.021min,380.0,228.0,303.0,228.0,242.0,241.0,231.0,308.0,207.0,316.0,316.0,311.0,454.0,476.0,458.0,350.0,222.0,239.0,279.0,295.0,268.0,236.0,332.0,321.0,290.0,263.0,239.0,239.0,382.0,278.0,244.0,297.0,287.0
10/128.0308mz/3.022min,143.0,121.0,108.0,124.0,98.0,143.0,129.0,151.0,114.0,111.0,169.0,114.0,175.0,218.0,138.0,150.0,113.0,119.0,121.0,79.0,124.0,118.0,156.0,116.0,108.0,111.0,86.0,92.0,114.0,118.0,102.0,121.0,108.0
11/191.0332mz/3.023min,153.0,116.0,162.0,134.0,110.0,151.0,94.0,129.0,116.0,286.0,135.0,134.0,134.0,172.0,130.0,214.0,105.0,121.0,140.0,143.0,118.0,137.0,132.0,319.0,129.0,111.0,126.0,98.0,313.0,126.0,106.0,135.0,118.0
12/112.0374mz/3.022min,212.0,82.0,90.0,89.0,105.0,105.0,97.0,193.0,92.0,127.0,305.0,127.0,370.0,499.0,352.0,238.0,121.0,70.0,60.0,102.0,87.0,126.0,300.0,90.0,81.0,73.0,84.0,92.0,95.0,105.0,92.0,94.0,71.0
13/149.0297mz/3.022min,175.0,111.0,90.0,106.0,97.0,127.0,100.0,170.0,108.0,153.0,186.0,132.0,212.0,262.0,202.0,172.0,98.0,90.0,86.0,119.0,106.0,118.0,169.0,106.0,76.0,89.0,86.0,95.0,127.0,98.0,84.0,106.0,79.0
14/218.0258mz/3.021min,66.0,262.0,,,292.0,215.0,233.0,174.0,297.0,,174.0,,114.0,87.0,78.0,74.0,265.0,233.0,138.0,191.0,159.0,212.0,86.0,134.0,177.0,180.0,215.0,143.0,124.0,218.0,244.0,175.0,
15/147.0284mz/3.021min,166.0,132.0,92.0,113.0,105.0,201.0,134.0,166.0,146.0,273.0,190.0,188.0,222.0,239.0,153.0,222.0,153.0,132.0,137.0,138.0,121.0,159.0,191.0,236.0,106.0,89.0,134.0,106.0,185.0,121.0,122.0,108.0,129.0
16/55.0012mz/3.020min,2146.0,1714.0,1750.0,1569.0,2068.0,2228.0,2212.0,2418.0,2233.0,2775.0,3505.0,2370.0,4634.0,5092.0,4367.0,3690.0,2726.0,1652.0,1590.0,1700.0,1412.0,2364.0,3577.0,2143.0,1426.0,1703.0,1884.0,2092.0,1814.0,1775.0,2433.0,1497.0,1550.0
17/50.0000mz/3.020min,209.0,175.0,178.0,215.0,174.0,210.0,182.0,214.0,209.0,202.0,212.0,193.0,250.0,281.0,260.0,281.0,249.0,162.0,174.0,174.0,209.0,161.0,263.0,242.0,193.0,180.0,217.0,214.0,201.0,199.0,255.0,172.0,162.0
18/50.9999mz/3.020min,326.0,257.0,266.0,273.0,260.0,311.0,300.0,290.0,262.0,300.0,279.0,273.0,342.0,374.0,329.0,316.0,286.0,222.0,241.0,249.0,274.0,257.0,292.0,276.0,201.0,242.0,270.0,255.0,302.0,252.0,287.0,218.0,250.0
19/56.0054mz/3.020min,799.0,724.0,596.0,664.0,1202.0,1031.0,1444.0,1172.0,1406.0,1478.0,1958.0,1199.0,1978.0,2433.0,1790.0,1865.0,1532.0,719.0,729.0,905.0,726.0,1188.0,1695.0,1233.0,679.0,809.0,956.0,1033.0,882.0,998.0,1196.0,876.0,804.0
20/51.9999mz/3.021min,212.0,206.0,191.0,225.0,222.0,212.0,225.0,206.0,263.0,287.0,262.0,233.0,294.0,302.0,260.0,271.0,276.0,215.0,174.0,190.0,204.0,202.0,238.0,210.0,206.0,175.0,214.0,246.0,228.0,220.0,239.0,263.0,239.0
21/52.9994mz/3.020min,369.0,257.0,263.0,279.0,342.0,370.0,361.0,370.0,338.0,441.0,518.0,330.0,614.0,689.0,586.0,567.0,404.0,263.0,241.0,290.0,308.0,358.0,526.0,362.0,273.0,254.0,316.0,343.0,343.0,257.0,394.0,258.0,270.0
22/54.0013mz/3.021min,530.0,257.0,191.0,201.0,290.0,338.0,319.0,404.0,281.0,409.0,609.0,369.0,1177.0,1175.0,1057.0,716.0,342.0,175.0,193.0,225.0,193.0,313.0,791.0,268.0,223.0,207.0,199.0,247.0,282.0,247.0,278.0,178.0,183.0
24/57.0010mz/3.022min,1273.0,1418.0,2386.0,1473.0,2284.0,2103.0,2546.0,2001.0,2343.0,3358.0,3337.0,2218.0,3641.0,4060.0,3199.0,3554.0,3516.0,1655.0,1782.0,1889.0,1569.0,2655.0,2590.0,2959.0,1346.0,1954.0,2394.0,3362.0,1450.0,1484.0,3743.0,1466.0,1370.0
25/62.0000mz/3.022min,220.0,126.0,142.0,143.0,119.0,158.0,166.0,142.0,177.0,172.0,188.0,175.0,130.0,162.0,151.0,174.0,150.0,134.0,127.0,190.0,145.0,145.0,146.0,175.0,156.0,130.0,150.0,170.0,223.0,127.0,148.0,174.0,178.0
26/59.9759mz/3.020min,638.0,900.0,1585.0,1376.0,2419.0,2095.0,5012.0,1146.0,4559.0,2719.0,4944.0,2385.0,3151.0,2385.0,2791.0,2346.0,2192.0,1108.0,1582.0,1937.0,1711.0,3065.0,2511.0,2343.0,1260.0,2076.0,2586.0,3365.0,1737.0,1316.0,3361.0,1623.0,1719.0
27/60.9727mz/3.020min,701.0,738.0,1557.0,1098.0,957.0,1059.0,1318.0,752.0,1255.0,1689.0,1606.0,1318.0,1234.0,1245.0,1040.0,1346.0,1017.0,790.0,1193.0,1547.0,1063.0,1159.0,1172.0,1908.0,1069.0,1130.0,1285.0,1304.0,1759.0,918.0,1212.0,1431.0,1317.0
29/67.0003mz/3.020min,1250.0,468.0,327.0,401.0,572.0,609.0,615.0,908.0,561.0,809.0,1436.0,633.0,2625.0,2785.0,2383.0,1638.0,873.0,414.0,439.0,504.0,385.0,695.0,1878.0,510.0,400.0,463.0,426.0,466.0,,527.0,510.0,447.0,436.0
