"Filename",4_Blank.mzXML,48_MB_CNeg2.mzXML,110_QC.mzXML,109_QC.mzXML,100_MB_CPos2.mzXML,35_QC.mzXML,7_QC.mzXML,29_QC.mzXML,74_MB_CPos0.mzXML,25_MB_CPos2.mzXML,27_MB_CNeg0.mzXML,33_MB_CNeg0.mzXML,23_QC.mzXML,19_MB_CNeg2.mzXML,49_MB_CPos0.mzXML,8_QC.mzXML,83_QC.mzXML,62_QC.mzXML,50_QC.mzXML,18_MB_CNeg0.mzXML,96_QC.mzXML,51_MB_CNeg2.mzXML,56_QC.mzXML,92_MB_CPos0.mzXML,60_MB_CPos2.mzXML
run_date,,,,,,,,,,,,,,,,,,,,,,,,,
6/128.0346mz/3.023min,143.0,121.0,89.0,94.0,92.0,156.0,111.0,140.0,114.0,113.0,129.0,114.0,132.0,151.0,118.0,169.0,134.0,138.0,105.0,169.0,106.0,119.0,108.0,121.0,102.0
7/112.0391mz/3.024min,212.0,82.0,78.0,84.0,92.0,98.0,169.0,97.0,95.0,121.0,97.0,92.0,105.0,193.0,105.0,198.0,100.0,78.0,65.0,305.0,55.0,70.0,87.0,94.0,92.0
8/92.0000mz/3.020min,380.0,228.0,273.0,298.0,239.0,210.0,244.0,210.0,382.0,222.0,231.0,207.0,294.0,308.0,278.0,254.0,236.0,265.0,233.0,316.0,254.0,239.0,220.0,297.0,244.0
9/218.0293mz/3.020min,66.0,262.0,108.0,,143.0,287.0,129.0,250.0,124.0,265.0,233.0,297.0,265.0,174.0,218.0,130.0,222.0,223.0,244.0,174.0,111.0,233.0,231.0,175.0,244.0
10/135.0279mz/3.021min,274.0,166.0,127.0,167.0,102.0,202.0,223.0,217.0,166.0,196.0,194.0,180.0,172.0,220.0,169.0,242.0,143.0,145.0,150.0,305.0,116.0,134.0,146.0,158.0,175.0
11/50.0000mz/3.021min,209.0,175.0,225.0,167.0,214.0,206.0,209.0,198.0,201.0,249.0,182.0,209.0,230.0,214.0,199.0,226.0,207.0,236.0,223.0,212.0,167.0,162.0,190.0,172.0,255.0
12/55.0010mz/3.020min,2146.0,1714.0,1585.0,1588.0,2092.0,2054.0,2966.0,2220.0,1814.0,2726.0,2212.0,2233.0,2409.0,2418.0,1775.0,2871.0,1889.0,1938.0,2065.0,3505.0,1742.0,1652.0,1986.0,1497.0,2433.0
13/51.0000mz/3.020min,326.0,257.0,278.0,268.0,255.0,225.0,294.0,242.0,302.0,286.0,300.0,262.0,260.0,290.0,252.0,266.0,250.0,239.0,201.0,279.0,258.0,222.0,246.0,218.0,287.0
14/52.0000mz/3.022min,212.0,206.0,198.0,191.0,246.0,193.0,262.0,218.0,228.0,276.0,225.0,263.0,241.0,206.0,220.0,250.0,223.0,225.0,226.0,262.0,178.0,215.0,215.0,263.0,239.0
15/52.9996mz/3.020min,369.0,257.0,305.0,289.0,343.0,297.0,415.0,358.0,343.0,404.0,361.0,338.0,302.0,370.0,257.0,431.0,289.0,329.0,321.0,518.0,295.0,263.0,311.0,258.0,394.0
16/54.0010mz/3.021min,530.0,257.0,206.0,225.0,247.0,290.0,471.0,314.0,282.0,342.0,319.0,281.0,319.0,404.0,247.0,487.0,217.0,207.0,212.0,609.0,220.0,175.0,209.0,178.0,278.0
17/57.0006mz/3.022min,1273.0,1418.0,2244.0,2209.0,3362.0,2167.0,2809.0,2342.0,1450.0,3516.0,2546.0,2343.0,2529.0,2001.0,1484.0,2729.0,2158.0,2170.0,2284.0,3337.0,1986.0,1655.0,2222.0,1466.0,3743.0
19/56.0049mz/3.021min,799.0,724.0,730.0,714.0,1033.0,1073.0,1388.0,1090.0,882.0,1532.0,1444.0,1406.0,1204.0,1172.0,998.0,1348.0,799.0,828.0,895.0,1958.0,735.0,719.0,852.0,876.0,1196.0
22/59.9718mz/3.020min,638.0,900.0,2404.0,2178.0,3365.0,2318.0,2396.0,2801.0,1737.0,2192.0,5012.0,4559.0,2870.0,1146.0,1316.0,2283.0,2089.0,2115.0,1981.0,4944.0,2116.0,1108.0,2474.0,1623.0,3361.0
23/60.9724mz/3.020min,701.0,738.0,1360.0,1378.0,1304.0,932.0,1050.0,961.0,1759.0,1017.0,1318.0,1255.0,1070.0,752.0,918.0,1062.0,1146.0,1096.0,939.0,1606.0,1294.0,790.0,1049.0,1431.0,1212.0
27/67.0004mz/3.020min,1250.0,468.0,447.0,422.0,466.0,554.0,1137.0,638.0,,873.0,615.0,561.0,759.0,908.0,527.0,1148.0,417.0,497.0,532.0,1436.0,426.0,414.0,442.0,447.0,510.0
28/73.0037mz/3.020min,562.0,543.0,852.0,804.0,1081.0,823.0,713.0,767.0,,986.0,818.0,849.0,842.0,690.0,649.0,730.0,831.0,791.0,806.0,887.0,726.0,567.0,926.0,681.0,1073.0
29/71.0185mz/3.021min,673.0,441.0,386.0,409.0,535.0,527.0,793.0,551.0,,734.0,679.0,655.0,610.0,662.0,489.0,783.0,452.0,522.0,447.0,1165.0,375.0,382.0,438.0,420.0,640.0
