row ID,row m/z,row retention time,34_MB_BPos0.mzXML Peak area,26_MB_BPos0.mzXML Peak area,50_QC.mzXML Peak area,39_GC_Pos.mzXML Peak area,35_QC.mzXML Peak area,38_GC_0.mzXML Peak area,40_GC_2.mzXML Peak area,56_QC.mzXML Peak area,29_QC.mzXML Peak area,81_MB_BPos0.mzXML Peak area,23_QC.mzXML Peak area,65_GC_0.mzXML Peak area,62_QC.mzXML Peak area,64_GC_Neg.mzXML Peak area,25_MB_CPos2.mzXML Peak area,37_GC_Neg.mzXML Peak area,83_QC.mzXML Peak area,60_MB_CPos2.mzXML Peak area,77_QC.mzXML Peak area,104_GC_2.mzXML Peak area,102_GC_0.mzXML Peak area,101_GC_Neg.mzXML Peak area,69_GC_1.mzXML Peak area,90_QC.mzXML Peak area,96_QC.mzXML Peak area,67_GC_2.mzXML Peak area,110_QC.mzXML Peak area,100_MB_CPos2.mzXML Peak area,12_GC_Pos.mzXML Peak area,8_QC.mzXML Peak area,7_QC.mzXML Peak area,103_GC_Pos.mzXML Peak area,13_GC_2.mzXML Peak area,11_GC_0.mzXML Peak area,10_GC_Neg.mzXML Peak area,
1,63.0,3.0314283,144.11467,484.61987,128.07722,134.47472,137.2597,137.50722,133.26723,140.7497,132.52972,480.0397,135.19221,110.37225,126.24224,125.674736,135.3222,146.91968,131.55971,109.65476,137.6797,125.507225,125.92471,424.20242,121.02224,136.28221,147.3772,106.35978,135.89471,127.81473,146.8422,135.8847,141.0822,123.88722,152.86716,138.6547,140.6772,
2,57.0,3.1367142,68.407585,71.41508,730.7099,230.56029,185.78023,145.24768,957.32465,196.92773,200.39774,68.34759,716.2027,139.70267,208.35025,188.92271,429.02557,192.98274,199.57526,481.90054,190.39523,71.785095,222.94528,78.660095,223.0603,195.83775,182.45021,256.14032,215.21524,449.3506,924.0425,194.28275,192.70773,68.70258,236.51529,137.70016,188.46774,
3,57.0,3.1401422,66.61479,69.18979,203.23439,821.1727,185.56442,142.75954,251.34921,197.5869,198.1044,66.1898,197.33441,139.15207,206.70186,188.83691,427.17368,192.0119,198.74438,1796.1982,190.8894,70.762276,715.4001,77.279755,221.18932,194.1319,180.42696,256.01422,214.13432,1537.1672,235.09427,192.81691,188.9544,67.74229,233.27676,137.05208,186.84692,
4,94.04714295718563,5.134,46.839943,47.527424,97.08991,84.4299,105.07487,104.36735,111.32735,103.97485,114.24988,38.367466,120.95736,101.23739,115.13485,129.37982,204.67479,122.76981,99.26738,180.51726,98.36235,87.587395,65.74491,95.6774,96.55988,302.26514,109.51237,112.48735,355.83762,510.75052,123.34985,132.45483,131.00734,125.539825,148.89984,135.10986,148.59729,
5,280.99275183330525,5.1491933,3.5299988,3.6849813,28.174911,42.23235,0,78.60468,26.12491,10.775016,3.294996,39.429867,3.09499,373.31967,28.274921,147.34453,0,96.77969,35.5974,0,300.9645,118.08964,8.559921,30.322407,213.82259,54.694862,285.41986,59.112293,44.70234,57.947327,4.737518,3.6600254,3.0999696,19.642443,2.7799954,16.192375,0,
6,98.09963716660076,8.365856,439.63995,416.1222,731.4493,2300.8516,689.18933,2748.4175,2594.0515,2288.701,738.28656,400.86487,2474.942,2799.3542,2229.2842,677.04193,2958.0645,628.7098,676.0036,912.5038,660.0725,2225.1733,2752.0742,2384.5452,578.05853,670.713,2292.6106,755.6871,815.0541,2915.0002,2559.371,828.8414,791.84174,3251.8787,847.81384,2793.8208,695.88184,
7,73.0392114308336,8.7864275,24.362648,20.507622,42.697712,44.1502,30.665207,61.520294,40.3027,39.330254,26.947685,38.860157,27.21514,303.32678,45.790203,117.38319,32.410175,88.898056,46.24021,46.820255,273.28552,299.42224,35.190155,45.125195,236.17714,52.285206,283.7374,59.295284,62.53771,66.755264,30.390186,22.192612,21.47763,43.877754,31.045183,38.44273,57.275383,
8,110.05081536700332,9.965607,666.74664,532.40283,1734.9991,1274.664,15676.446,2479.688,12001.971,1649.8727,18487.406,0,14829.906,1017.5062,1344.5204,1614.2761,50658.062,14905.987,1551.7715,23118.186,891.85425,370.85397,0,688.95374,899.8895,1214.335,1176.377,1933.7614,1115.9972,16137.011,3541.5764,18131.908,19953.125,951.9441,20474.682,16817.572,18822.984,
9,109.07753503398365,10.375,54.89458,51.92455,191.46347,389.44247,138.10895,148.49654,208.51341,221.01108,185.71843,76.4619,148.77359,230.72113,264.58322,298.21564,319.81207,178.76135,294.44504,752.0702,228.54355,1081.3794,1027.3936,1013.2948,913.17285,304.4294,343.97516,290.12796,473.76636,3628.6084,86.26917,71.86426,70.18929,332.62006,95.68406,73.75689,72.30678,
11,120.05766380231282,10.461285,169.46097,150.04866,206.22316,192.48833,213.65565,261.94287,197.93578,193.87592,229.81299,128.92892,243.78763,251.70535,216.21559,227.3305,343.1767,233.00809,191.08826,351.67682,172.55846,405.0689,57.826912,439.56845,178.08835,203.64784,200.99821,192.7134,236.61526,806.9367,231.87027,704.20734,632.2453,281.40262,642.207,797.48804,730.9477,
12,120.0576004798198,10.461,185.79384,164.19148,224.37358,211.45126,233.2411,288.28598,215.67618,215.4539,249.14844,141.82172,263.58557,277.07593,237.64359,248.4585,370.20233,255.4786,473.81464,990.90735,191.7439,443.7498,63.08953,476.9393,193.6662,219.3232,220.36116,210.5413,618.03503,339.72482,251.34322,282.28326,265.22845,306.1782,259.68073,331.9527,317.04288,
10,120.05955558958654,10.461572,452.54492,396.42477,523.57227,550.3601,583.0145,726.52246,582.1849,626.17065,607.2172,362.45767,552.26495,728.13007,636.87225,585.4272,345.41675,649.3873,196.49588,361.312,529.2401,1104.1257,59.09194,1183.5922,435.62466,517.4073,564.32294,543.51984,240.32535,314.61676,542.53784,267.34042,251.63315,723.49506,242.10031,313.2473,298.6475,
13,117.0496226818962,10.951429,28.492647,34.190186,69.01537,140.10315,0,140.36826,167.58604,78.807915,89.18299,32.010124,0,510.59793,157.41327,809.9758,0,235.80392,86.662964,0,151.07571,28.03763,26.54013,26.662628,444.28708,86.470375,499.82245,205.40866,117.16811,298.66174,169.49355,0,0,99.9331,208.98627,165.69598,0,
14,98.0966491064021,11.003393,64.45675,59.00439,194.64267,150.28337,253.16956,757.9188,0,196.32266,856.21716,31.742193,320.6435,154.10078,190.46036,201.35776,17.614624,273.13428,150.45078,0,584.0069,68.74918,71.0592,100.50882,136.60098,131.19598,135.41084,196.27267,144.31332,0,306.5016,919.141,0,135.65343,0,0,0,
15,117.04758036492149,10.987242,20.60017,27.617683,61.480366,112.913315,87.59056,137.40588,169.91122,73.125465,95.0606,23.942688,95.62565,129.73845,138.82347,0,739.8782,263.86923,71.7905,986.3342,129.13846,23.590157,23.160141,24.092667,0,0,0,170.9112,0,276.76428,162.71611,134.53075,127.91825,0,216.59372,186.18863,936.9462,
16,110.05205342560245,11.838636,289.61926,267.59695,449.40256,1331.6486,631.005,2092.3743,545.0862,532.579,658.1949,0,619.33044,1991.8777,505.1544,1658.8163,0,566.4086,463.40228,801.2606,458.80243,464.30756,1424.9731,547.424,399.07788,459.49985,1721.6757,495.41913,537.6262,814.45074,663.1952,642.3397,649.9402,500.6469,611.37537,780.6709,590.9432,
17,117.06280522575835,12.484851,53.037735,47.390217,292.44235,308.36008,322.8275,265.20685,331.16272,238.00702,135.06053,50.372715,289.51758,151.21063,306.13727,277.99747,360.53525,277.08765,288.1229,318.78247,317.22278,110.8479,402.72272,107.0029,260.06964,0,301.37466,335.8623,400.21515,320.1198,298.68716,281.23013,261.78232,350.65378,323.76852,294.97528,123.16049,
19,68.03172546410065,12.5978565,49.82269,41.487633,136.76569,117.57045,130.7505,141.71307,151.28577,122.90274,136.94066,38.56765,147.92831,139.32796,139.14813,136.81807,506.35516,135.32794,121.590576,257.90875,121.945435,68.35774,113.4454,79.52535,100.89791,118.28558,128.98798,160.78821,131.11064,222.44365,156.28587,142.95831,129.2832,632.64105,386.58447,155.76096,133.81834,
18,70.04613545532939,12.597571,59.93768,52.275196,181.1709,150.62553,168.80318,175.1006,208.51846,161.48038,178.08083,48.01517,186.17862,586.7634,180.03078,177.08813,258.75644,172.65569,158.11563,331.4966,150.66052,86.500404,135.20056,96.33041,127.0106,152.01074,164.72319,715.5845,171.45338,937.71484,587.5374,183.3085,170.98587,225.50357,222.96655,193.05617,168.13342,
20,70.04569115504377,12.599286,62.422733,54.385246,610.85486,559.43054,529.38763,610.6962,708.2273,567.84546,525.142,49.890217,654.9742,176.3732,579.945,609.14716,255.84137,545.4272,539.0949,1071.259,512.0475,89.135475,438.61526,342.00992,447.07764,152.37076,574.28485,217.47855,174.26845,280.60406,201.40619,512.58026,469.55643,230.3137,217.3489,522.47424,438.9989,
21,150.0465186272151,13.000571,24.649757,24.427273,75.07428,60.227036,166.26747,73.91949,82.906906,173.10287,189.35733,20.917301,203.09764,159.61005,83.90689,93.59176,281.51477,94.26184,63.996952,291.3803,69.05701,64.3845,51.10453,67.46189,153.1131,155.03146,173.45229,83.816795,83.14157,248.18845,85.311676,239.75992,219.78293,335.02185,269.08246,95.40913,264.66504,
22,159.05080100097175,13.200286,13.372574,14.59008,124.68257,39.297684,143.56242,175.75493,179.92743,165.77751,187.01622,20.170109,191.88225,79.345375,158.72493,112.958,438.282,106.72809,184.0973,588.44196,64.46046,38.967712,38.17769,139.84265,72.67032,150.5748,67.65287,83.14296,192.90001,629.88715,57.85016,176.23979,170.35756,136.08319,209.43742,175.2898,121.948044,
23,73.03976224636509,13.255516,26.112642,25.267609,0,48.08024,34.63269,66.29278,46.32026,44.990227,32.675186,40.155224,0,298.97705,52.14777,0,51.250313,92.87547,48.01521,60.77032,231.21492,249.4274,41.3752,52.48023,232.67278,48.497772,243.42004,61.660305,62.942833,68.06033,0,28.965143,26.07014,54.97033,0,43.267723,0,
24,154.04628941625552,13.91843,8.377388,11.02237,35.394653,27.852173,43.309566,39.224598,47.304516,40.83453,58.636906,5.8224373,67.971794,35.492115,42.174534,56.056934,340.76462,60.491913,32.0247,104.14641,31.809666,17.652294,52.479446,20.019772,39.55963,32.812172,43.85956,46.709496,45.82953,91.076515,168.83012,103.93643,221.1272,71.08923,109.8589,92.76662,117.033806,
25,70.03807504365079,14.092999,23.404716,20.957253,222.60266,76.62413,58.509384,79.754166,146.61345,61.214306,58.454304,27.884684,82.54908,80.72159,430.14908,98.56648,92.181404,83.38907,55.77932,634.2731,99.50894,295.52435,37.979553,45.789494,76.41167,55.004353,360.36017,147.8484,108.121315,692.2403,129.18112,179.82056,188.16055,112.58128,257.81458,134.20853,167.99066,
26,70.03796428053367,14.095428,23.425123,21.28509,218.14877,81.30787,61.272858,86.11042,151.89581,65.46032,61.285294,17.29236,85.80543,85.33792,142.4658,102.49804,93.47297,86.77293,56.84529,216.60112,107.36551,101.918045,38.3852,45.650234,77.470406,54.527824,119.57065,152.62825,108.42562,196.9962,133.25075,615.8327,579.8714,119.50567,856.589,139.39822,578.1178,
27,75.02473483025511,14.227423,0,6.379977,52.197147,32.78225,24.572311,49.52212,44.974712,23.67729,27.367321,0,28.849792,47.26962,142.75752,56.399925,41.717213,53.254623,16.934713,159.3141,38.937218,96.53494,4.0350924,9.189908,26.369787,21.217306,142.72961,45.864635,29.677267,98.14172,57.289608,54.939674,49.977222,53.457214,74.772026,97.46935,83.822014,
28,133.04321524425362,14.287859,13.217374,14.63734,41.999546,27.67971,49.952007,56.374424,54.989418,52.79946,66.164345,13.974823,71.57426,54.579426,50.95952,99.4315,303.5321,106.39641,50.51196,667.84235,46.539482,31.98467,24.69225,40.724598,54.819454,45.67449,53.22194,57.391956,37.922066,450.98978,42.909573,211.0775,202.06982,34.87461,91.299126,87.434006,361.6448,
29,123.0526587161819,14.701144,29.307243,27.282234,317.03226,55.13456,320.5227,65.35947,392.7071,129.80876,140.77644,13.312425,144.29138,47.42711,138.50388,56.11209,432.69415,73.75195,108.76164,787.869,82.69182,45.879593,40.764587,73.59192,57.19205,88.839294,97.544174,152.59375,105.459076,393.63953,84.97939,139.5064,121.08641,80.309265,501.70975,96.90436,128.99149,
30,59.04112888393081,14.733428,35.40009,32.905125,90.39273,156.24492,81.840256,72.400215,96.46767,76.86532,84.63263,32.700058,86.58268,76.55268,96.522644,86.16766,107.18779,85.850296,87.762665,109.49542,78.94275,74.65263,137.99269,78.0526,82.617676,194.12747,86.61512,98.942696,106.49775,124.65784,83.85009,81.00522,72.3002,206.36044,98.01525,80.04521,85.37276,
31,59.04052578096692,14.733571,36.80762,34.152653,91.24025,80.34529,86.192856,140.3599,100.21525,83.15047,86.85268,33.500076,87.3827,167.68015,99.28522,89.37274,111.49289,176.08757,89.49021,115.40056,185.63228,75.99517,139.40271,136.48999,83.07519,86.72021,199.04756,101.85526,202.66502,122.7103,158.98479,84.13778,75.83528,136.98276,100.3403,145.94168,88.23532,
32,73.03805704435824,15.055283,25.442623,23.070103,39.970184,39.177624,32.987682,45.175163,45.10266,39.50517,30.550148,44.91764,30.957638,103.58229,47.63021,70.89778,45.857765,51.600254,42.61018,65.3553,51.952644,70.946594,45.1452,46.845215,46.97772,45.605263,50.240265,54.51775,98.15482,59.310345,34.600143,39.737717,39.257668,60.347786,58.11281,39.525208,46.220192,
33,107.06345968525737,15.698716,293.5587,578.11993,938.01715,966.30225,959.3652,409.12457,493.3368,1001.7269,977.4713,188.62888,935.93915,797.87726,1065.029,383.85175,743.2973,391.37433,842.66895,395.2746,980.6297,1198.6774,110.985794,1240.5618,1091.549,845.3822,991.1017,953.80945,1234.4948,774.85956,1098.1973,880.9081,1012.5171,290.68887,971.3475,808.8898,828.0427,
34,83.05293984777508,15.822144,27.03764,26.197615,123.93493,58.595337,61.757896,59.85537,147.27263,61.210415,62.205273,25.015137,63.96273,60.04533,69.08028,118.332596,89.76541,116.0276,60.942787,99.09552,62.312866,50.62521,72.3203,52.585186,55.82521,58.030197,70.30276,75.29033,76.78529,96.080345,66.77024,62.857826,60.83285,95.83534,80.242805,61.042717,56.987755,
35,136.03334169961832,16.300486,5.209778,0,38.190247,29.570223,66.27542,61.190407,180.46461,36.927883,60.932816,0,139.76283,37.8478,35.58772,54.697838,286.726,98.2132,29.03521,176.3311,24.505367,0,0,5.8801346,23.18529,16.54715,28.797604,43.150253,19.86776,62.140182,45.317654,169.93532,68.642815,31.092707,253.25467,77.18784,194.9849,
36,120.0577765837351,16.63857,12.012786,11.615245,108.71001,31.55808,52.96114,52.53858,65.338745,50.983635,68.13873,13.150294,77.46386,48.788498,50.67596,73.40141,284.62726,76.0665,54.687775,277.7499,41.073364,26.860584,39.770706,55.72737,44.898293,45.390747,51.953484,61.77613,52.08592,238.92638,52.995895,103.26691,89.50165,77.193886,99.53911,81.65132,132.08714,
37,59.99996606170845,16.887917,227.81786,103.979904,230.48119,177.0784,509.33942,192.7573,0,536.0866,573.7817,71.40761,0,416.48782,534.355,235.00278,188.24893,0,448.87927,0,504.36154,519.18005,122.48001,610.1054,461.1858,442.04224,511.022,222.90785,230.28584,0,0,0,0,511.68475,0,0,0,
38,59.99989624275172,16.89409,0,213.19002,225.93454,372.9128,206.96509,449.0756,0,229.52975,212.49712,67.12808,0,192.47783,231.08974,556.2357,194.86165,647.70746,192.51263,0,204.93039,0,113.14433,0,189.56221,0,214.00232,238.66205,221.36926,0,174.25104,0,0,216.39453,0,0,0,
39,59.99993423525649,16.942,47.38762,0,0,0,0,0,591.96844,0,0,0,564.5155,0,0,0,0,0,0,0,0,98.850204,0,0,0,0,0,0,0,338.88153,0,545.63477,536.4273,0,681.0327,497.2878,275.37714,
